first_win,name,seasons,poles,top_ten,last_win,podiums,first_race,wins,titles,last_race,country
1968-06-09T00:00:00.000Z,McLaren-Ford 🇬🇧,87,0,49,1969-10-19T00:00:00.000Z,16,1966-05-22T00:00:00.000Z,4,0,1970-10-25T00:00:00.000Z,UK
1968-06-23T00:00:00.000Z,Matra-Ford 🇫🇷,40,2,29,1969-09-07T00:00:00.000Z,15,1968-01-01T00:00:00.000Z,9,1,1969-10-19T00:00:00.000Z,France
1969-08-03T00:00:00.000Z,Brabham-Ford 🇬🇧,58,4,22,1969-09-20T00:00:00.000Z,9,1964-07-11T00:00:00.000Z,2,0,1979-10-07T00:00:00.000Z,UK
1970-03-07T00:00:00.000Z,Brabham 🇬🇧,662,26,235,1985-07-07T00:00:00.000Z,78,1962-08-05T00:00:00.000Z,23,0,1992-08-16T00:00:00.000Z,UK
1970-04-19T00:00:00.000Z,March 🇬🇧,524,5,136,1976-09-12T00:00:00.000Z,16,1970-03-07T00:00:00.000Z,3,0,1992-11-08T00:00:00.000Z,UK
1971-04-18T00:00:00.000Z,Tyrrell 🇬🇧,881,14,339,1983-06-05T00:00:00.000Z,77,1970-09-20T00:00:00.000Z,23,1,1998-11-01T00:00:00.000Z,UK
1972-03-04T00:00:00.000Z,McLaren 🇬🇧,1601,155,963,2012-11-25T00:00:00.000Z,469,1968-08-04T00:00:00.000Z,178,8,2017-06-25T00:00:00.000Z,UK
1975-06-22T00:00:00.000Z,Hesketh 🇬🇧,97,0,25,1975-06-22T00:00:00.000Z,7,1974-03-30T00:00:00.000Z,1,0,1978-05-21T00:00:00.000Z,UK
1976-08-15T00:00:00.000Z,Penske 🇺🇸,46,0,19,1976-08-15T00:00:00.000Z,3,1974-09-22T00:00:00.000Z,1,0,1977-10-09T00:00:00.000Z,USA
1977-01-09T00:00:00.000Z,Wolf 🇨🇦,79,1,24,1977-10-09T00:00:00.000Z,13,1976-01-25T00:00:00.000Z,3,0,1979-10-07T00:00:00.000Z,Canada
1977-06-19T00:00:00.000Z,Ligier 🇫🇷,611,9,248,1996-05-19T00:00:00.000Z,50,1976-01-25T00:00:00.000Z,9,0,1996-10-13T00:00:00.000Z,France
1977-08-14T00:00:00.000Z,Shadow 🇬🇧,211,0,60,1977-08-14T00:00:00.000Z,6,1973-03-03T00:00:00.000Z,1,0,1980-06-29T00:00:00.000Z,UK
1979-07-01T00:00:00.000Z,Renault 🇫🇷,645,51,313,2008-10-12T00:00:00.000Z,100,1977-07-16T00:00:00.000Z,35,2,2017-06-25T00:00:00.000Z,France
