name,race_duration,round,season,laps_completed
German Grand Prix,1:41:42.7,10,1976,14
German Grand Prix,3:45:45.8,6,1954,22
German Grand Prix,1:31:05.862,10,2012,67
German Grand Prix,3:23:03.3,6,1951,20
German Grand Prix,1:33:42.914,10,2014,67
German Grand Prix,2:05:55.7,7,1967,15
German Grand Prix,1:20:59.046,10,1997,45
German Grand Prix,2:09:31.6,6,1959,60
German Grand Prix,1:27:10.319,10,1983,45
German Grand Prix,1:25:34.418,11,2000,45
German Grand Prix,1:19:29.661,9,1991,45
German Grand Prix,1:35:31.337,9,1985,67
German Grand Prix,1:21:43.302,9,1989,45
German Grand Prix,2:12:04.8,6,1964,15
German Grand Prix,3:38:43.7,7,1956,22
German Grand Prix,1:24:48.83,10,1979,45
German Grand Prix,1:30:44.200,12,2016,67
German Grand Prix,1:27:52.078,12,2002,67
German Grand Prix,1:42:03.0,11,1973,14
German Grand Prix,2:18:12.4,6,1961,15
German Grand Prix,1:29:16.3,7,1971,12
German Grand Prix,2:19:03.2,8,1968,14
German Grand Prix,1:23:54.848,12,2004,66
German Grand Prix,1:21:43.417,11,1996,45
German Grand Prix,1:18:40.885,10,1993,45
German Grand Prix,1:23:59.73,9,1980,45
German Grand Prix,2:07:52.4,7,1965,15
German Grand Prix,1:41.14.711,9,2013,60
German Grand Prix,1:32:54.188,9,1988,44
German Grand Prix,3:02:25.0,7,1953,18
German Grand Prix,1:27.38.684,11,2010,67
German Grand Prix,1:27:51.693,12,2006,67
German Grand Prix,1:20:48.0,11,1998,45
German Grand Prix,1:41:14.1,11,1975,14
German Grand Prix,1:18:22.032,10,1992,45
German Grand Prix,1:22:08.263,10,1986,44
German Grand Prix,3:30:38.3,6,1957,22
German Grand Prix,1:25:55.60,10,1981,45
German Grand Prix,2:21:15.0,8,1958,15
German Grand Prix,1:49:55.4,7,1969,14
German Grand Prix,3:06:13.3,6,1952,18
German Grand Prix,1:21:58.594,10,1999,45
German Grand Prix,1:22:56.043,9,1995,45
German Grand Prix,1:21:25.091,8,1987,44
German Grand Prix,1:42:00.3,8,1970,50
German Grand Prix,2:13:06.8,6,1963,15
German Grand Prix,1:41:35.0,11,1974,14
German Grand Prix,1:27:25.178,12,1982,45
German Grand Prix,1:31:20.874,10,2008,67
Hungarian Grand Prix,1:46:09.985,10,2015,69
Hungarian Grand Prix,1:46:25.721,10,1995,77
Hungarian Grand Prix,1:39:01.460,13,2003,70
Hungarian Grand Prix,1:42:29.445,10,2013,70
Hungarian Grand Prix,1:59:26.793,9,1987,76
Hungarian Grand Prix,1:46:23.536,11,1999,77
Hungarian Grand Prix,1:38:23.876,10,2009,70
Hungarian Grand Prix,1:53:05.058,11,2014,70
Hungarian Grand Prix,1:45:47.149,11,1997,77
Hungarian Grand Prix,1:52:20.941,13,2006,70
Hungarian Grand Prix,1:41:49.675,13,2001,77
Hungarian Grand Prix,1:49:30.597,10,1990,77
Hungarian Grand Prix,1:37:25.552,13,2005,70
Hungarian Grand Prix,2:00:34.508,11,1986,76
Hungarian Grand Prix,1:46:21.134,12,1996,77
Hungarian Grand Prix,1:57:47.081,10,1988,76
Hungarian Grand Prix,1:45:26.4,12,1998,77
Hungarian Grand Prix,1:35:26.131,13,2004,70
Hungarian Grand Prix,1:40:30.115,11,2016,70
Hungarian Grand Prix,1:47:39.098,11,1993,77
Hungarian Grand Prix,1:41:05.571,12,2010,70
Hungarian Grand Prix,1:35:52.991,11,2007,70
Hungarian Grand Prix,1:46:19.216,11,1992,77
Hungarian Grand Prix,1:37:27.067,11,2008,70
Hungarian Grand Prix,1:41:49.001,13,2002,77
Hungarian Grand Prix,1:49:38.650,10,1989,77
Hungarian Grand Prix,1:45:33.869,12,2000,77
Hungarian Grand Prix,1.48:00.185,10,1994,77
Hungarian Grand Prix,1:46:42.337,11,2011,70
Hungarian Grand Prix,1:49:12.796,10,1991,77
Hungarian Grand Prix,1:41:05.503,11,2012,69
Indian Grand Prix,1:30:35.002,17,2011,60
Indian Grand Prix,1:31:12.187,16,2013,60
Indian Grand Prix,1:31:10.744,17,2012,60
Indianapolis 500,3:41:14.25,3,1957,200
Indianapolis 500,3:53:59.53,3,1955,200
Indianapolis 500,3:53:01.69,2,1953,200
Indianapolis 500,3:36:11.36,3,1960,200
Indianapolis 500,3:44:13.80,4,1958,200
Indianapolis 500,3:57:38.05,2,1951,200
