name,round,grid,laps_completed,winning_constructor,date,final_position,time,season,winning_driver
1970 British Grand Prix 🇬🇧,7,19,51,Team Lotus 🇬🇧,1970-07-18,R,,1970,Jochen Rindt 🇦🇹
1970 Canadian Grand Prix 🇨🇦,11,5,89,Ferrari 🇮🇹,1970-09-20,5,,1970,Jacky Ickx 🇧🇪
1970 Dutch Grand Prix 🇳🇱,5,14,79,Team Lotus 🇬🇧,1970-06-21,6,,1970,Jochen Rindt 🇦🇹
1970 German Grand Prix 🇩🇪,8,15,46,Team Lotus 🇬🇧,1970-08-02,9,,1970,Jochen Rindt 🇦🇹
1970 Italian Grand Prix 🇮🇹,10,10,0,Ferrari 🇮🇹,1970-09-06,R,,1970,Clay Regazzoni 🇨🇭
1970 Mexican Grand Prix 🇲🇽,13,15,64,Ferrari 🇮🇹,1970-10-25,8,,1970,Jacky Ickx 🇧🇪
1970 Monaco Grand Prix 🇲🇨,3,13,14,Team Lotus 🇬🇧,1970-05-10,R,,1970,Jochen Rindt 🇦🇹
1970 South African Grand Prix 🇿🇦,1,7,60,Brabham 🇬🇧,1970-03-07,R,,1970,Jack Brabham 🇦🇺
1970 Spanish Grand Prix 🇪🇸,2,12,76,March 🇬🇧,1970-04-19,R,,1970,Jackie Stewart 🇬🇧
1970 United States Grand Prix 🇺🇸,12,8,6,Team Lotus 🇬🇧,1970-10-04,R,,1970,Emerson Fittipaldi 🇧🇷
1971 Austrian Grand Prix 🇦🇹,8,18,12,BRM 🇬🇧,1971-08-15,R,,1971,Jo Siffert 🇨🇭
1971 British Grand Prix 🇬🇧,6,11,67,Tyrrell 🇬🇧,1971-07-17,6,,1971,Jackie Stewart 🇬🇧
1971 Canadian Grand Prix 🇨🇦,10,14,60,Tyrrell 🇬🇧,1971-09-19,11,,1971,Jackie Stewart 🇬🇧
1971 Dutch Grand Prix 🇳🇱,4,7,68,Ferrari 🇮🇹,1971-06-20,5,,1971,Jacky Ickx 🇧🇪
1971 French Grand Prix 🇫🇷,5,13,55,Tyrrell 🇬🇧,1971-07-04,8,+1:24.91,1971,Jackie Stewart 🇬🇧
1971 German Grand Prix 🇩🇪,7,15,12,Tyrrell 🇬🇧,1971-08-01,7,+3:19.0,1971,Jackie Stewart 🇬🇧
1971 Italian Grand Prix 🇮🇹,9,15,3,BRM 🇬🇧,1971-09-05,R,,1971,Peter Gethin 🇬🇧
1971 Monaco Grand Prix 🇲🇨,3,10,79,Tyrrell 🇬🇧,1971-05-23,7,,1971,Jackie Stewart 🇬🇧
1971 South African Grand Prix 🇿🇦,1,6,56,Ferrari 🇮🇹,1971-03-06,R,,1971,Mario Andretti 🇺🇸
1971 Spanish Grand Prix 🇪🇸,2,22,67,Tyrrell 🇬🇧,1971-04-18,11,,1971,Jackie Stewart 🇬🇧
1971 United States Grand Prix 🇺🇸,11,13,54,Tyrrell 🇬🇧,1971-10-03,17,,1971,François Cevert 🇫🇷
1972 Italian Grand Prix 🇮🇹,10,22,20,Team Lotus 🇬🇧,1972-09-10,R,,1972,Emerson Fittipaldi 🇧🇷
